sno,language,question_type,category,level,question,option1,answer1,option2,answer2,option3,answer3,option4,answer4,option5,answer5,option6,answer6,option7,answer7,option8,answer8
1,hi,single_choice,general_studies,easy,MY Bharat का पूरा नाम क्या है?,मेरा युवा भारत,TRUE,मेरा यूथ भारत,FALSE,मिनिस्ट्री यूथ बोर्ड,FALSE,मेगा यूथ भारत,FALSE,,,,,,,,
2,hi,single_choice,general_studies,easy,MY Bharat किस मंत्रालय की पहल है?,युवा कार्यक्रम और खेल मंत्रालय,TRUE,शिक्षा मंत्रालय,FALSE,गृह मंत्रालय,FALSE,सूचना प्रौद्योगिकी मंत्रालय,FALSE,,,,,,,,
3,hi,single_choice,general_studies,easy,UPI का पूरा नाम क्या है?,यूनिफाइड पेमेंट्स इंटरफेस,TRUE,यूनिवर्सल पेमेंट इंडिया,FALSE,यूनाइटेड पे इंटीग्रेशन,FALSE,यूनिफाइड पे इंफ्रास्ट्रक्चर,FALSE,,,,,,,,
4,hi,single_choice,general_studies,easy,भारत का राष्ट्रीय पशु कौन है?,बंगाल टाइगर,TRUE,एशियाई शेर,FALSE,हाथी,FALSE,गैंडा,FALSE,,,,,,,,
5,hi,single_choice,general_studies,easy,भारत का राष्ट्रीय पक्षी कौन है?,मोर,TRUE,तोता,FALSE,गौरैया,FALSE,बाज,FALSE,,,,,,,,
6,hi,single_choice,general_studies,easy,भारत का राष्ट्रीय फूल क्या है?,कमल,TRUE,गुलाब,FALSE,चमेली,FALSE,सूरजमुखी,FALSE,,,,,,,,
7,hi,single_choice,general_studies,moderate,स्वच्छ भारत मिशन कब शुरू हुआ?,2014,TRUE,2015,FALSE,2013,FALSE,2016,FALSE,,,,,,,,
8,hi,single_choice,general_studies,moderate,भारतीय संविधान के निर्माता कौन हैं?,डॉ भीमराव अंबेडकर,TRUE,जवाहरलाल नेहरू,FALSE,महात्मा गांधी,FALSE,सरदार पटेल,FALSE,,,,,,,,
9,hi,single_choice,general_studies,moderate,भारत में कितने राज्य हैं?,28,TRUE,29,FALSE,30,FALSE,27,FALSE,,,,,,,,
10,hi,single_choice,general_studies,moderate,भारत की राष्ट्रीय नदी कौन सी है?,गंगा,TRUE,यमुना,FALSE,ब्रह्मपुत्र,FALSE,गोदावरी,FALSE,,,,,,,,
11,hi,single_choice,general_studies,difficult,भारतीय संविधान में कितनी अनुसूचियां हैं?,12,TRUE,10,FALSE,8,FALSE,14,FALSE,,,,,,,,
12,hi,single_choice,general_studies,difficult,लोकसभा में कुल कितनी सीटें हैं?,543,TRUE,545,FALSE,540,FALSE,550,FALSE,,,,,,,,
